IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	33.95435870316886	99.84685365396025	92.54306069077464	96.2596880584
Imagem 22	32.94113680803722	99.95373066045583	91.00056753177728	94.2527100019
Imagem 23	61.39296119872358	97.11473285486444	93.63951714860323	92.8397102264
Imagem 24	33.222093756569265	99.85807426902811	88.43279043049267	93.9022465082
Imagem 25	24.25438456886399	99.63657210178086	88.94701445716787	90.4041206958
Imagem 26	72.56169212690952	96.75951426174065	93.78445368476656	93.7499303796
Imagem 27	23.162159354548287	99.79123605866111	89.81930425378515	94.6643934871
Imagem 28	50.22410280520294	99.63959786709381	92.52795532560793	94.4709146712
Imagem 29	45.36888824214203	99.57145509303189	92.84191508581753	93.1280201962
Imagem 30	64.44954128440367	98.01840381331091	94.12652842314955	93.4452381536
Imagem 31	31.912529670218674	99.74319897873352	93.69048638369017	94.0458057544
Imagem 32	35.128080838211716	99.82881012787986	92.00987725527658	94.8165605019
Imagem 33	26.22289270224401	99.9452629425005	91.13989053807518	95.5068423902
Imagem 34	31.01712296839554	99.55241820693146	89.61215153359025	87.4214723423
Imagem 35	57.460350951225514	99.35528900837556	93.9853148649806	95.561952064
Imagem 36	19.685590988062547	99.8230421686747	86.91822423580588	94.3772544889
Imagem 37	42.32136632973161	99.77771790381247	92.34194002381726	94.955637935
Imagem 38	22.353603603603602	99.7285208263309	89.8156455561517	95.4817784854
Imagem 39	71.87179033114928	96.93839568211428	93.7454604512255	95.2415516698
Imagem 40	66.8655513001411	98.7460193107939	95.17388731541836	95.9060017183
Médias	42.31850992657765	99.18144228950375	91.8047992594987	94.0215914864
