IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	37.233047227759016	99.83772572605059	92.89836775182614	69.2845200158
Imagem 22	36.4439350010114	99.93241557145234	91.45008873314295	79.1665937435
Imagem 23	66.43388983952273	96.16377591706538	93.27148468256074	88.3835218376
Imagem 24	36.06527223039731	99.87112491095655	88.93108963528643	80.1044600161
Imagem 25	31.93812267243849	99.35256187741277	89.79286936190765	71.0214687541
Imagem 26	76.71122209165688	95.50398690421649	93.19346435327527	93.1159287464
Imagem 27	27.355517850341077	99.79382618200279	90.3672494592646	80.2903283738
Imagem 28	54.192132894530644	99.52209834130714	92.99842575092583	82.5819908816
Imagem 29	57.01033178114086	99.1686950781798	93.93450767841011	85.8536617759
Imagem 30	69.67812159850723	97.28429048456577	94.08371229363752	88.5539993666
Imagem 31	35.74061916064845	99.72538619113122	94.01585377394628	68.6952468703
Imagem 32	40.94858122972519	99.82265959355219	92.7078639534255	75.630237046
Imagem 33	29.492739958514047	99.95651729077143	91.54035000788306	77.3205921003
Imagem 34	37.80726560800522	99.12276077306707	90.22964415297591	76.1418134118
Imagem 35	66.45919049126138	98.87188501706132	94.71731791198835	89.0857725517
Imagem 36	28.392086532533767	99.80690619621343	88.3067245471693	75.308791061
Imagem 37	48.117811084001396	99.71243225318396	93.03525675724441	82.5453174998
Imagem 38	25.73902027027027	99.76730356542647	90.28318177104701	70.7184035012
Imagem 39	72.53408889675934	97.416609797961	94.24712288473944	91.3864379051
Imagem 40	73.52549889135254	98.06128989591706	95.31211180825643	91.584011275
Médias	47.59092476551886	98.93471257837474	92.26583436344566	80.8386548367
