IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	49.778302078672255	99.57301581667065	94.05356659752908	96.2679125774
Imagem 22	45.97801901422696	99.76137497920479	92.57569342473899	94.0829334607
Imagem 23	53.43384359247098	98.48385167464114	94.10113244219686	92.8251437536
Imagem 24	43.09964263191087	99.75965067781772	90.04482890676037	93.8153469445
Imagem 25	34.564089505681636	99.21371243438838	90.046084197318	90.1893968807
Imagem 26	50.21298472385429	99.27365760497476	93.24177287769817	93.7136305014
Imagem 27	41.50074448561239	99.50114224439368	91.9534066330209	94.6033354842
Imagem 28	45.79846419056574	99.78923851876831	92.01914359046069	94.0880082177
Imagem 29	49.658032596041906	99.45026610008664	93.26829268292684	92.9634234236
Imagem 30	51.25563675944643	99.22867120389488	93.66681840102038	93.2433973081
Imagem 31	44.295742639260645	99.16824177890372	94.27182147154387	94.3699768311
Imagem 32	52.72381520563779	99.4085236154891	93.76678502550423	94.7018041826
Imagem 33	52.951159720912685	99.51401677921015	93.95256649924548	95.4398766835
Imagem 34	34.29876627614283	99.35155994643779	89.91639059788609	89.1942348922
Imagem 35	49.43559447199072	99.64222934546582	93.20688551634612	95.3640953001
Imagem 36	40.66300510003923	99.57885111876075	90.09142351741379	94.4916184461
Imagem 37	47.978389682816314	99.6865252489663	92.99465916062213	94.8820922302
Imagem 38	48.93018018018018	99.28898311658091	92.83727305106831	95.4151886298
Imagem 39	53.090136355587035	99.11853506214199	93.25552753504194	94.9716956129
Imagem 40	60.05240878855069	99.27202987170226	94.87756291247138	95.7624332594
Médias	47.48494789998007	99.40320385692499	92.70708175204066	94.019277231
