IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	54.452263759508604	99.49137157258986	94.49905311570025	81.2581029986
Imagem 22	51.466522823814984	99.63140492430544	93.19637500337817	81.0493212927
Imagem 23	59.6309485270314	97.89374003189792	94.1713195628602	84.4451283618
Imagem 24	47.68236283371873	99.70690433335689	90.78687121263319	77.5536194065
Imagem 25	38.19269822070853	98.87921150346598	90.27357132217864	72.6568259938
Imagem 26	55.14835487661575	99.12180005250669	93.71537700965719	81.6000394617
Imagem 27	46.01959901658645	99.4281007661585	92.47791997116079	77.1786831188
Imagem 28	51.352452593637366	99.66699685965393	92.713797909722	80.485235207
Imagem 29	54.59473224679861	99.35847188415363	93.80081300813008	82.1853914997
Imagem 30	56.32872026123464	98.97784914990696	94.03323433042334	82.2766752292
Imagem 31	47.31579213171052	99.15983018475819	94.5336475847555	76.0806645253
Imagem 32	57.16842537007345	99.08613310781375	94.0204754780916	82.8352294839
Imagem 33	57.13746935696775	99.44904849600982	94.39536926507354	83.0640531741
Imagem 34	37.78551229062432	99.13541326191707	90.23730647015077	72.6704445596
Imagem 35	54.847557759257306	99.54916761451763	93.81944225334337	82.0380279545
Imagem 36	45.407162472678365	99.5874569707401	90.86261202314017	76.7468322185
Imagem 37	52.96967584524225	99.58859677302355	93.5553570784165	80.3770190519
Imagem 38	54.49042792792793	99.1783230343615	93.45314042768067	82.587519014
Imagem 39	58.97998937488932	98.81351200446677	93.73959569256033	83.6079305578
Imagem 40	65.90606732513606	98.96324030644948	95.25926126687716	87.0212321937
Médias	52.343836750708114	99.2333286416027	93.17722699929668	80.3858987651
