IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	68.063295773502	98.7261469494972	95.3273514293444	90.907489395
Imagem 22	63.28298833524375	98.79283813009482	94.04857351338204	87.9910835929
Imagem 23	70.48050686768718	94.81160287081339	92.44453642756554	89.5817093505
Imagem 24	58.17479503889006	99.17128423754343	92.14210087630376	84.4385041142
Imagem 25	51.55170767418913	97.62220328820726	91.08918488293891	82.3766845821
Imagem 26	65.72414806110459	98.25801370321372	94.25805781672558	88.7951156327
Imagem 27	59.97091312026039	98.71374474852492	93.67204397981254	87.833117672
Imagem 28	62.25669957686883	99.01943220856955	93.72871493461679	87.4985406394
Imagem 29	65.7814318975553	98.37245760963737	94.32610659439928	88.8948301557
Imagem 30	67.47395428393718	97.779307180546	94.26579351808869	88.7499931083
Imagem 31	61.673652845815866	98.12965730175853	94.87659022185369	87.2092341909
Imagem 32	68.00775569558894	97.91958176366572	94.30480705106253	89.2532882708
Imagem 33	68.98736564208939	98.61366891753633	95.07511430437623	89.8862815566
Imagem 34	51.595761210727495	97.47582847442615	90.8214454735988	83.3787650278
Imagem 35	66.54007103421598	98.9065246613587	94.75788458331267	90.5354220275
Imagem 36	57.67808104018383	99.10929432013769	92.43747912962645	87.1330336473
Imagem 37	64.41268734750784	98.8429931916393	94.38715672476634	88.8390078113
Imagem 38	68.1447072072072	98.21495979522714	94.36251414556291	90.7253914731
Imagem 39	70.41615016823091	97.57429120913208	94.11494024713191	90.5774665825
Imagem 40	75.38399516226568	97.83236847192406	95.31708066257414	92.467160176
Médias	64.28003339915355	98.19430995167268	93.78787382585216	88.3536059503
