IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	48.13082211284221	99.75303883933326	94.03102173324916	77.4483550405
Imagem 22	46.02184613309959	99.81336300116453	92.62659111587558	77.6057137815
Imagem 23	54.36803403783009	98.74651116427432	94.42912225606601	81.3463834865
Imagem 24	43.26781585032584	99.8433922968586	90.14304701403437	75.5196578278
Imagem 25	31.899926791227678	99.29681172225904	89.7396084874363	70.1405705602
Imagem 26	50.396592244418336	99.4023504460494	93.37721733869694	78.8223935756
Imagem 27	39.405796599605246	99.63531063349237	91.797494592646	73.713726017
Imagem 28	46.046074283027735	99.83086391131157	92.09041331931996	77.1800565903
Imagem 29	48.646682188591384	99.63591732332192	93.30532971996386	78.8202839501
Imagem 30	51.00295443943399	99.3316509902883	93.72856376673772	79.491217708
Imagem 31	40.013130649967174	99.53637272268459	94.22495414663163	72.5841698806
Imagem 32	51.8923151497073	99.44286409881859	93.69649069050666	80.2734061271
Imagem 33	51.529323024703	99.70636382238592	93.95211603864952	79.9078903471
Imagem 34	30.777836477205632	99.54187446622312	89.56843125323958	66.9583560909
Imagem 35	49.059324119984524	99.72391686485369	93.22987329676323	78.5795542498
Imagem 36	40.312727680322816	99.67835628227193	90.1184985966084	73.1199127254
Imagem 37	47.25688393168351	99.74559321858257	92.95270831077912	77.2152821952
Imagem 38	48.141891891891895	99.41515629443856	92.846290142966	78.8631319905
Imagem 39	53.53639100407296	99.16919990901008	93.35658183819582	80.7307264214
Imagem 40	60.63696835315461	99.30865729954114	94.97558485673889	84.2489824079
Médias	46.617166848154774	99.52787826535817	92.70949692575525	77.1284885487
