IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	42.51718667371761	99.75456016065152	93.41013617098025	72.2299116884
Imagem 22	39.15447373744185	99.90174263849609	91.78565315700811	84.5840478289
Imagem 23	70.37876335383619	94.58981259968103	92.23442498301561	89.5946277651
Imagem 24	39.50231238175321	99.83523564565331	89.49066252168232	86.5546075958
Imagem 25	35.28026227838431	99.23317239420619	90.16434139317809	73.8401714772
Imagem 26	80.89747356051704	93.20244413443768	91.6895793546523	93.1791203244
Imagem 27	30.49967104124104	99.7389155671593	90.7286409516943	82.6778219063
Imagem 28	58.41717599122395	99.28446477121841	93.40303933818387	84.0855811825
Imagem 29	55.53696158323632	99.19241717892653	93.77235772357724	81.2073824643
Imagem 30	71.757891463225	96.7872345848946	93.8854060095818	88.9951436567
Imagem 31	38.801070652997325	99.5700190992667	94.14744280158448	68.8563250487
Imagem 32	44.50203214139229	99.74065246918326	93.06519348966312	77.9541967992
Imagem 33	32.830473316990386	99.92735829752404	91.91333138133741	85.7173264659
Imagem 34	38.36663662637124	99.14068513227122	90.32609920447119	77.3336328624
Imagem 35	66.49435594471991	98.75917692069073	94.62356382714992	88.2784377461
Imagem 36	28.193128958134846	99.77517211703959	88.24806187558099	82.2254969837
Imagem 37	50.21261763680725	99.63315682027793	93.23734257154199	85.866559158
Imagem 38	30.19073761261261	99.7135248338806	90.80662395570805	76.4397266628
Imagem 39	76.38392066584026	96.6876563889406	94.10140618867379	92.7416168541
Imagem 40	75.15017133642411	97.7692879017571	95.23486870931751	92.5784320258
Médias	50.253365847843334	98.61183448280784	92.31340878042911	83.2470083248
