IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	16.20632144164667	99.98377257260506	90.69753810082062	95.8248671591
Imagem 22	19.843570898793068	99.99584095824322	89.28716207086039	93.5427264363
Imagem 23	40.90089256809878	99.62270733652313	93.90991753013323	92.8735519169
Imagem 24	18.822261929787683	99.97716137662522	86.06249014439864	93.7771201865
Imagem 25	12.811535156125665	99.93373094764745	87.57938352794616	89.783284649
Imagem 26	50.01101645123385	99.28395303226071	93.22597102391498	93.8100726954
Imagem 27	11.870217112780914	99.94871555783487	88.48684210526315	93.7783260322
Imagem 28	31.618868515906595	99.93571774822433	90.1038823959259	94.1205322137
Imagem 29	25.51658905704307	99.92934939560213	90.69060523938572	92.2287871674
Imagem 30	45.945420618877314	99.50294410032882	93.2936420301155	93.1844882498
Imagem 31	16.049694459875763	99.98169241274209	92.49221506694366	92.6155751929
Imagem 32	16.767963011297958	99.98411111965352	89.92763288332944	94.2533282946
Imagem 33	13.316990382802189	99.99232658072437	89.6398567535305	95.18459183
Imagem 34	19.124273594580316	99.90510633362504	88.18876343722533	83.7190358184
Imagem 35	37.72198192495692	99.84644814393548	91.88351054958824	94.6199547524
Imagem 36	8.101216163201256	99.91824440619621	85.13262276292159	93.1605601893
Imagem 37	27.399790867898222	99.9357506295402	90.5484284219263	94.4551832142
Imagem 38	8.002533783783784	99.89761356878765	88.12448997073955	94.9579665224
Imagem 39	49.56968301753143	99.24209524991211	92.9149203971795	95.0281798595
Imagem 40	44.515218705906065	99.73750343382136	93.54997538158543	95.5317458862
Médias	25.705801983106376	99.82773924524166	90.2869924896867	93.3224939133
