IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	97.61623886425579	68.81747693930434	72.00964920191181	96.3670876934
Imagem 22	94.50138223990291	69.753368823823	73.05980703919572	94.3010146422
Imagem 23	95.65740184063266	60.97188995215311	64.34629245533444	92.4515701814
Imagem 24	92.2797981921379	75.9009021256233	78.70919781036697	93.7530451412
Imagem 25	91.23404526211924	66.76659619005544	70.23619843738011	90.7695004426
Imagem 26	94.60928319623972	66.72672332583484	70.15481301892159	93.6945087263
Imagem 27	95.8481941895495	70.51040970571019	73.80767844268205	94.9431819722
Imagem 28	94.34257953298855	72.79965013594115	75.90000586396503	94.5965846972
Imagem 29	94.10288125727591	68.33615248153802	71.53523035230353	93.6104346281
Imagem 30	94.59648577204167	64.94761795518849	68.3850206644162	93.5451152671
Imagem 31	96.20726225948184	65.19034942751681	67.95807177009775	94.0498604203
Imagem 32	95.92080241619747	69.7050306245355	72.87314576161208	95.1539841552
Imagem 33	96.0890062228927	70.24964190710047	73.3358859433771	95.4948989053
Imagem 34	91.36704061655117	64.65685395864746	68.53086336285578	89.629591472
Imagem 35	96.1423497556001	71.59704270499432	74.74319043347742	95.6671187233
Imagem 36	94.67858543966821	73.27291308089501	76.7199444058374	94.6347596453
Imagem 37	95.23875914952946	71.47379765593426	74.54936667749269	94.7150194409
Imagem 38	96.39991554054053	70.43876205496808	73.7647711236649	95.3913831032
Imagem 39	96.14662652735966	70.85478834501727	74.07641329405449	95.1531434593
Imagem 40	96.51683128401531	69.55294189465545	72.57418273639324	95.8871350737
Médias	94.97477347794901	69.12614546447183	72.363486439767	94.1904468895
