IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	50.55526176626124	99.51774114210662	94.09054017494815	96.3258439688
Imagem 22	43.76306385274088	99.78892863084346	92.3036385092832	94.3739181244
Imagem 23	75.47518845673589	91.92533891547049	90.32497536702016	92.7613097875
Imagem 24	43.71978137481606	99.65850820287223	90.06735599558469	93.8762897132
Imagem 25	38.37094566635898	98.9759853576951	90.38189852449324	90.5586844093
Imagem 26	87.83783783783784	86.10477656348932	86.31785203144118	93.6994129859
Imagem 27	34.19439731292635	99.6088913754073	91.09634102379236	94.8333528409
Imagem 28	64.26578906127565	98.63163108310326	93.68586288245456	94.5127889826
Imagem 29	58.97118742724098	98.81544205619043	93.86856368563686	93.3440660083
Imagem 30	76.44612035453274	95.19410670133313	93.02052019343877	93.4954915457
Imagem 31	44.8159183879602	99.2365241313792	94.38042748408088	94.2866239921
Imagem 32	49.42018718073008	99.51103252095027	93.45767019339955	94.9556283529
Imagem 33	36.881010748632846	99.83271945979129	92.3137908511453	95.5384245711
Imagem 34	42.46869076105534	98.78588825743597	90.61771798165552	88.3622993461
Imagem 35	71.78675669022752	98.15220763106194	94.77275902946492	95.726530886
Imagem 36	30.08462702460349	99.70202237521515	88.49128633701253	94.6074438922
Imagem 37	53.59358661554548	99.44403568948901	93.51024863772508	94.9783883211
Imagem 38	38.048986486486484	99.49892701088501	91.62627760920824	95.563488696
Imagem 39	86.06693819727289	92.07353640631139	91.30842765820186	95.2624076087
Imagem 40	81.07639588792583	96.57584421134025	94.83916722001635	95.967453121
Médias	55.39213355455835	97.55170438611853	92.02376606950017	94.1514923577
