IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	57.40552414270024	99.41530550667606	94.75876995220489	83.2639408359
Imagem 22	53.34434630166543	99.57005905839294	93.39411028133361	82.744155425
Imagem 23	61.34208944179809	97.52940590111643	94.00889936696616	85.7487814072
Imagem 24	49.57168383434938	99.66720863082453	91.0779212002433	78.9339207907
Imagem 25	41.46481204443454	98.69881241650626	90.5827552121182	74.3161402252
Imagem 26	57.03951233842538	98.99310721143205	93.83501961687277	83.2268570738
Imagem 27	49.01485508500987	99.37578027465668	92.82218817591925	79.1878044754
Imagem 28	53.06378310609622	99.64539380782769	92.94159039753173	81.8439216387
Imagem 29	56.821158323632126	99.09030900614711	93.8423667570009	83.7522948179
Imagem 30	58.548437257036234	98.84377150722644	94.17204872926234	83.6881220261
Imagem 31	50.2954396242614	99.12123581161988	94.76437903047729	78.1264106029
Imagem 32	59.733770834110146	98.93749519489505	94.1998161532777	84.0248841945
Imagem 33	59.55496888553648	99.37129118068344	94.61564449649767	84.4010887622
Imagem 34	39.03788184841046	99.05211771032127	90.34773398237667	74.5946772471
Imagem 35	56.82737278897212	99.48454141247028	94.01686672045507	84.2496557187
Imagem 36	48.03284201087261	99.27764629948365	91.02551374962772	78.9252582699
Imagem 37	54.74729871035204	99.5383371848413	93.74165493847208	82.1442071012
Imagem 38	57.50281531531532	99.01078160146858	93.69299507215928	84.3807862839
Imagem 39	61.01646892155127	98.66151746386252	93.86636470678462	85.0241283361
Imagem 40	67.73634347913728	98.7765421673263	95.29856038738995	88.3634539935
Médias	54.60507021468332	99.10303296738891	93.35025994634854	82.0470244613
