IMAGEM	SENSIBILIDADE	ESPECIFICIDADE	EXATIDÃO	AUC 
Imagem 21	77.44376194931458	97.28494855398408	95.08567048426369	95.7775306818
Imagem 22	61.01746342121233	98.8547038762269	93.79949012224455	88.0308779682
Imagem 23	93.0675669426074	69.61174242424242	71.89365751384621	89.2449899119
Imagem 24	61.0258566323313	98.85426239403151	92.36827284809983	89.5241828207
Imagem 25	69.01359136773084	94.49861676501835	90.88471728857013	89.2882145118
Imagem 26	98.44668037602821	32.084154822635526	40.24325825195378	86.9817002723
Imagem 27	57.68205270265591	98.88728301241704	93.52514419610671	92.0296219761
Imagem 28	82.68609935746748	92.83147511960715	91.37140099146116	94.2725935177
Imagem 29	77.72846332945285	94.81929947605099	92.6973803071364	93.3815599974
Imagem 30	89.83828331519203	80.4715658535342	81.55751558281766	91.1399442337
Imagem 31	66.81985758295036	97.27860189409309	94.56068642605102	92.3250607131
Imagem 32	70.56191506021851	97.92419466441147	94.61752672085939	92.5914786607
Imagem 33	56.526494437111076	99.39021894823	94.27059167999279	83.5162886496
Imagem 34	65.66704993940148	93.5387956939363	89.49631532688798	87.1164749254
Imagem 35	88.91584906987376	89.17847171957398	89.14480949440406	94.3987752405
Imagem 36	51.42632965308525	99.31906196213424	91.60672544967194	87.319966442
Imagem 37	71.98326943185779	97.61448305163785	94.2973909277904	92.1702378974
Imagem 38	61.588541666666664	98.80135481035241	94.03384114589204	93.949297976
Imagem 39	92.70763237117053	79.58258370039498	81.254426764954	92.4156497123
Imagem 40	94.08586978431768	78.43611057413493	80.18962954932492	93.858301729
Médias	74.41163141953231	89.46309646583236	87.34492255361644	90.9666373919
